recipe_id,title,description,ingredients,instructions,n_ingredients,n_instructions,temps_preparation,niveau_calorie,image_path,cuisine,tags,difficulte,regime,note_moyenne,nb_avis
92,Yakitori de poulet,"Brochette japonaise de poulet grillée, glacée avec une sauce sucrée-salée à  base de sauce soja.",400 g de filet de poulet ; 3 cuillères à  soupe de sauce soja ; 2 cuillères à  soupe de mirin ; 1 cuillère à  soupe de sucre ; 1 gousse d'ail ; 1 cuillère à  café de gingembre ; oignons verts ; huile végétale ; sel,"Couper le poulet en morceaux ; Préparer la sauce avec la sauce soja, le mirin, le sucre, l'ail et le gingembre ; Mariner le poulet 30 min ; Enfiler sur des brochettes ; Griller à  feu moyen en badigeonnant de sauce ; Retourner régulièrement ; Servir chaud parsemé d'oignons verts",9,7,45,320,Images/Yakitori.jpg,japonaise,"yakitori,poulet,japonais,brochette,grillé",facile,sans lactose,4.7,265
93,Katsudon,"Bol japonais de riz recouvert d'une côtelette de porc panée et d'oeufs brouillés, un réconfort ultime.",300 g de riz ; 2 côtelettes de porc ; 150 g de farine ; 2 oeufs ; 1 oignon ; 3 cuillères à  soupe de sauce soja ; 2 cuillères à  soupe de mirin ; 1 cuillère à  soupe de sucre ; 200 ml de bouillon ; huile de friture ; oignons verts,"Cuire le riz ; Aplatir les côtelettes de porc ; Paner avec la farine et l'oeuf battu ; Frire jusqu'à  dorure ; Couper en lamelles ; Faire revenir l'oignon dans une poêle ; Ajouter la sauce soja, le mirin, le sucre et le bouillon ; Disposer les tranches de porc ; Verser les oeufs battus sur le dessus ; Couvrir jusqu'à  ce que les oeufs soient pris ; Servir sur le riz chaud",12,10,40,620,Images/Katsudon.jpg,japonaise,"katsudon,porc,japonais,riz,comfort food",moyen,normal,4.8,220
94,Chiles rellenos,"Poivrons farcis au fromage, panés et frits, nappés d'une sauce tomate épicée, un classique mexicain.",6 poivrons ; 300 g de fromage ; 3 oeufs ; 100 g de farine ; 400 g de tomates concassées ; 1 oignon ; 2 gousses d'ail ; 1 cuillère à  café de cumin ; huile de friture ; sel ; poivre ; coriandre frîche,"Griller les poivrons au four et les peler ; Farcir avec le fromage ; Fermer avec des cure-dents ; Paner avec la farine et l'oeuf battu ; Frire jusqu'à  dorure ; Préparer la sauce tomate avec l'oignon, l'ail et le cumin ; Napper les poivrons frits ; Garnir de coriandre ; Servir chaud",12,8,60,420,Images/Chiles_rellenos.jpg,mexicaine,"chiles rellenos,mexicain,poivrons,fromage,friture",moyen,végétarien,4.6,155
95,Pozole rouge,"Soupe épaisse mexicaine au maïs et à  la viande de porc, parfumée au chili et aux épices.",500 g de porc ; 300 g de maïs ; 2 oignons ; 3 gousses d'ail ; 400 g de tomates concassées ; 1 cuillère à  café de cumin ; 1 cuillère à  café de paprika ; 2 cuillères à  soupe d'huile d'olive ; sel ; poivre ; coriandre frîche ; citron vert ; oignons rouges,"Faire bouillir le porc dans de l'eau salée 1h ; Retirer le porc et réserver le bouillon ; Faire revenir l'oignon et l'ail dans l'huile ; Ajouter les tomates et les épices ; Incorporer le bouillon et le maïs ; Laisser mijoter 45 min ; Ajouter le porc effiloché ; Servir chaud garni de coriandre, d'oignons rouges et de citron vert",14,8,120,480,Images/Pozole.jpg,mexicaine,"pozole,mexicain,soupe,maïs,porc",moyen,sans gluten,4.7,130
96,Blanquette de veau,Ragoût français traditionnel de veau mijoté dans une sauce onctueuse à  la crème et au citron.,800 g de viande de veau ; 2 oignons ; 3 carottes ; 1 bouquet de persil ; 1 bouquet de thym ; 200 ml de crème fraîche ; 2 cuillères à  soupe de farine ; 50 g de beurre ; 1 citron ; sel ; poivre ; 1 L de bouillon de volaille,Faire revenir la viande dans le beurre ; Ajouter les oignons et les carottes ; Saupoudrer de farine ; Verser le bouillon chaud ; Ajouter le thym et le persil ; Laisser mijoter 1h30 à  couvert ; Retirer les herbes ; Ajouter la crème fraîche et le jus de citron ; Rectifier l'assaisonnement ; Servir chaud avec du riz,12,9,120,520,Images/Blanquette_veau.jpg,française,"blanquette,veau,français,ragoût,crème",moyen,normal,4.7,340
97,Gratin dauphinois,"Gratin de pommes de terre à  la crème, cuit au four jusqu'à  obtenir une croûte dorée, un classique des Alpes françaises.",1 kg de pommes de terre ; 500 ml de crème fraîche ; 2 gousses d'ail ; 50 g de beurre ; 1 cuillère à  café de muscade ; sel ; poivre ; fromage râpé,"Eplucher et couper les pommes de terre en fines rondelles ; Frotter un plat à  gratin avec l'ail ; Beurrer le plat ; Disposer les rondelles de pommes de terre en couches ; Assaisonner chaque couche de sel, poivre et muscade ; Verser la crème fraîche ; Parsemer de fromage râpé ; Cuire au four à  160Â°C 1h15 ; Servir chaud",8,8,90,480,Images/Gratin_dauphinois.jpg,française,"gratin,dauphinois,pommes de terre,crème,français",facile,végétarien,4.8,410
98,Osso buco milanais,"Jarret de veau braisé à  la milanaise, servi avec une gremolata de citron et persil.",4 jarrets de veau ; 2 oignons ; 2 carottes ; 2 gousses d'ail ; 400 g de tomates concassées ; 200 ml de vin blanc ; 1 bouquet de persil ; 1 citron ; 2 cuillères à  soupe d'huile d'olive ; sel ; poivre ; farine,"Fariner les jarrets de veau ; Faire dorer dans l'huile d'olive ; Réserver ; Faire revenir les oignons, les carottes et l'ail ; Ajouter les tomates et le vin blanc ; Remettre les jarrets dans la cocotte ; Couvrir et cuire 2h à  feu doux ; Préparer la gremolata avec le persil haché et le zeste de citron ; Parsemer avant de servir",12,8,150,560,Images/Osso_buco.jpg,italienne,"osso buco,veau,milanais,braisé,italien",difficile,normal,4.8,195
99,Arancini siciliens,"Boulettes de riz farcies à  la viande, panées et frites, croustillantes à  l'extérieur et fondantes à  l'intérieur.",400 g de riz cuit ; 200 g de boeuf haché ; 100 g de fromage ; 2 oeufs ; 150 g de farine ; 1 oignon ; 2 gousses d'ail ; 200 g de tomates concassées ; 1 cuillère à  café de cumin ; huile de friture ; sel ; poivre ; persil,Faire revenir l'oignon et l'ail ; Ajouter le boeuf haché et le faire dorer ; Incorporer les tomates et le cumin ; Laisser mijoter 20 min ; Mélanger le riz cuit avec un oeuf battu ; Former des boules de riz ; Farcir avec la viande et le fromage ; Fermer et rouler ; Paner avec la farine et l'oeuf ; Frire jusqu'à  dorure ; Égoutter et servir chaud,14,10,60,480,Images/Arancini.jpg,italienne,"arancini,riz,italien,boulettes,friture",difficile,normal,4.7,230
100,Tortilla espagnole,"Omelette épaisse espagnole aux pommes de terre et oignons, un classique des tapas.",6 oeufs ; 500 g de pommes de terre ; 2 oignons ; 200 ml d'huile d'olive ; sel ; poivre,Eplucher et couper les pommes de terre en rondelles fines ; Émincer les oignons ; Faire frire les pommes de terre et les oignons dans l'huile d'olive à  feu doux jusqu'à  tendreté ; Égoutter ; Battre les oeufs avec le sel et le poivre ; Mélanger avec les pommes de terre et les oignons ; Verser dans une poêle chaude avec un peu d'huile ; Cuire à  feu moyen 5 min ; Retourner avec une assiette et cuire encore 3 min ; Servir tiède ou à  température ambiante,6,9,40,380,Images/Tortilla_espagnole.jpg,espagnole,"tortilla,espagnol,pommes de terre,oignons,tapas",facile,végétarien,4.6,350
101,Gambas à  l'ail,"Crevettes sautées à  l'ail et au piment, un classique des tapas espagnoles rapide et savoureux.",400 g de crevettes ; 4 gousses d'ail ; 1 piment ; 100 ml d'huile d'olive ; 1 cuillère à  café de paprika ; sel ; poivre ; persil ; citron,"Eplucher les crevettes en laissant la queue ; Hacher finement l'ail et le piment ; Chauffer l'huile d'olive dans une poêle ; Faire revenir l'ail et le piment ; Ajouter les crevettes et sauter 3 min ; Assaisonner avec le paprika, le sel et le poivre ; Parsemer de persil haché ; Arroser de jus de citron ; Servir immédiatement dans la poêle",10,8,15,320,Images/Gambas_ail.jpg,espagnole,"gambas,crevettes,espagnol,ail,tapas",facile,sans gluten,4.7,280
